epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2322,0.59146,2.03502,1.02127,0.69249,0.80472,0.79195,0.64725,0.64246,1.50022,1.01864,0.000465978,0.000465978,0.000465978
2,49.7402,0.58584,0.86062,0.97378,0.28249,0.45786,0.28078,0.19134,1.1017,5.65735,1.71295,0.000932983,0.000932983,0.000932983
3,62.1757,0.6165,0.85682,0.9955,0.40117,0.628,0.47799,0.344,1.11579,3.94651,1.5562,0.00139056,0.00139056,0.00139056
4,74.539,0.63118,0.78719,0.98878,0.43802,0.7424,0.70545,0.53009,0.88592,3.9139,1.29838,0.00138656,0.00138656,0.00138656
5,86.6899,0.59666,0.71607,0.98066,0.72277,0.32787,0.38249,0.26125,1.20544,3.04574,1.47066,0.00137241,0.00137241,0.00137241
6,98.7111,0.56652,0.64401,0.95776,0.56943,0.29167,0.31612,0.23341,1.67766,2.67509,1.8411,0.00135826,0.00135826,0.00135826
7,110.794,0.52817,0.59759,0.94385,0.73141,0.79852,0.75311,0.5998,0.65544,1.31618,1.01312,0.00134412,0.00134412,0.00134412
8,122.687,0.52732,0.62204,0.94919,0.83895,0.8809,0.93146,0.79844,0.57069,0.73218,0.92163,0.00132997,0.00132997,0.00132997
9,134.744,0.53234,0.57053,0.94333,0.91101,0.91091,0.97963,0.84524,0.57031,0.55858,0.92714,0.00131582,0.00131582,0.00131582
10,146.967,0.51708,0.56094,0.94272,0.69373,0.62708,0.67377,0.59097,0.52259,1.27674,0.90025,0.00130168,0.00130168,0.00130168
11,159.129,0.50661,0.57099,0.93497,0.88734,0.84517,0.94982,0.82675,0.55206,0.79917,0.91389,0.00128753,0.00128753,0.00128753
12,171.286,0.48174,0.52856,0.93388,0.89321,0.95768,0.98142,0.87856,0.48017,0.47508,0.84163,0.00127338,0.00127338,0.00127338
13,183.529,0.48022,0.52733,0.92688,0.96047,0.92188,0.96346,0.87486,0.45617,0.46348,0.82701,0.00125923,0.00125923,0.00125923
